"","gene_symbol","accession","description","fasta_title_lines","ensembl_gene_id"
"1","Ttn","A2ASS6","Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1",">sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1","ENSMUSG00000051747"
"17","Myom1","Q62234","Myomesin-1 OS=Mus musculus OX=10090 GN=Myom1 PE=1 SV=2",">sp|Q62234|MYOM1_MOUSE Myomesin-1 OS=Mus musculus OX=10090 GN=Myom1 PE=1 SV=2","ENSMUSG00000024049"
"18","Myom1","Z4YJF5","Myomesin-1 OS=Mus musculus OX=10090 GN=Myom1 PE=1 SV=1",">tr|Z4YJF5|Z4YJF5_MOUSE Myomesin-1 OS=Mus musculus OX=10090 GN=Myom1 PE=1 SV=1","ENSMUSG00000024049"
"19","Mybpc3","O70468","Myosin-binding protein C, cardiac-type OS=Mus musculus OX=10090 GN=Mybpc3 PE=1 SV=1",">sp|O70468|MYPC3_MOUSE Myosin-binding protein C, cardiac-type OS=Mus musculus OX=10090 GN=Mybpc3 PE=1 SV=1",""
"20","Myom2","Q14BI5","Myomesin 2 OS=Mus musculus OX=10090 GN=Myom2 PE=1 SV=1",">tr|Q14BI5|Q14BI5_MOUSE Myomesin 2 OS=Mus musculus OX=10090 GN=Myom2 PE=1 SV=1","ENSMUSG00000031461"
"21","Sptbn1","Q62261","Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptbn1 PE=1 SV=2",">sp|Q62261|SPTB2_MOUSE Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptbn1 PE=1 SV=2","ENSMUSG00000020315"
"22","Hspg2","E9PZ16","Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1",">tr|E9PZ16|E9PZ16_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1","ENSMUSG00000028763"
"23","Atp2a2","O55143","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus OX=10090 GN=Atp2a2 PE=1 SV=2",">sp|O55143|AT2A2_MOUSE Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus OX=10090 GN=Atp2a2 PE=1 SV=2","ENSMUSG00000029467"
"24","Speg","E9QQ25","Striated muscle-specific serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Speg PE=1 SV=1",">tr|E9QQ25|E9QQ25_MOUSE Striated muscle-specific serine/threonine-protein kinase OS=Mus musculus OX=10090 GN=Speg PE=1 SV=1","ENSMUSG00000026207"
"25","Actn2","Q9JI91","Alpha-actinin-2 OS=Mus musculus OX=10090 GN=Actn2 PE=1 SV=2",">sp|Q9JI91|ACTN2_MOUSE Alpha-actinin-2 OS=Mus musculus OX=10090 GN=Actn2 PE=1 SV=2","ENSMUSG00000052374"
"26","Tns1","A0A1D5RM59","Tensin 1 OS=Mus musculus OX=10090 GN=Tns1 PE=1 SV=1",">tr|A0A1D5RM59|A0A1D5RM59_MOUSE Tensin 1 OS=Mus musculus OX=10090 GN=Tns1 PE=1 SV=1","ENSMUSG00000055322"
"27","Flnc","Q8VHX6","Filamin-C OS=Mus musculus OX=10090 GN=Flnc PE=1 SV=3",">sp|Q8VHX6|FLNC_MOUSE Filamin-C OS=Mus musculus OX=10090 GN=Flnc PE=1 SV=3","ENSMUSG00000068699"
"28","Tns1","A0A087WQS0","Tensin 1 OS=Mus musculus OX=10090 GN=Tns1 PE=1 SV=1",">tr|A0A087WQS0|A0A087WQS0_MOUSE Tensin 1 OS=Mus musculus OX=10090 GN=Tns1 PE=1 SV=1","ENSMUSG00000055322"
"29","Dmd","P11531","Dystrophin OS=Mus musculus OX=10090 GN=Dmd PE=1 SV=3",">sp|P11531|DMD_MOUSE Dystrophin OS=Mus musculus OX=10090 GN=Dmd PE=1 SV=3","ENSMUSG00000045103"
"30","Dync1h1","Q9JHU4","Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=2",">sp|Q9JHU4|DYHC1_MOUSE Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=2","ENSMUSG00000018707"
"31","Myh4","Q5SX39","Myosin-4 OS=Mus musculus OX=10090 GN=Myh4 PE=2 SV=1",">sp|Q5SX39|MYH4_MOUSE Myosin-4 OS=Mus musculus OX=10090 GN=Myh4 PE=2 SV=1","ENSMUSG00000057003"
"32","Sorbs1","A0A5F8MPJ2","Sorbin and SH3 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sorbs1 PE=1 SV=1",">tr|A0A5F8MPJ2|A0A5F8MPJ2_MOUSE Sorbin and SH3 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sorbs1 PE=1 SV=1","ENSMUSG00000025006"
"33","Aco2","Q99KI0","Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1",">sp|Q99KI0|ACON_MOUSE Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1","ENSMUSG00000022477"
"34","Synpo2l","Q8BWB1","Synaptopodin 2-like protein OS=Mus musculus OX=10090 GN=Synpo2l PE=1 SV=1",">sp|Q8BWB1|SYP2L_MOUSE Synaptopodin 2-like protein OS=Mus musculus OX=10090 GN=Synpo2l PE=1 SV=1","ENSMUSG00000039376"
"35","Alb","P07724","Albumin OS=Mus musculus OX=10090 GN=Alb PE=1 SV=3",">sp|P07724|ALBU_MOUSE Albumin OS=Mus musculus OX=10090 GN=Alb PE=1 SV=3","ENSMUSG00000029368"
"36","Xirp2","A0A5F8MPR4","Xin actin-binding repeat-containing protein 2 OS=Mus musculus OX=10090 GN=Xirp2 PE=1 SV=1",">tr|A0A5F8MPR4|A0A5F8MPR4_MOUSE Xin actin-binding repeat-containing protein 2 OS=Mus musculus OX=10090 GN=Xirp2 PE=1 SV=1","ENSMUSG00000027022"
"37","Myh8","P13542","Myosin-8 OS=Mus musculus OX=10090 GN=Myh8 PE=2 SV=2",">sp|P13542|MYH8_MOUSE Myosin-8 OS=Mus musculus OX=10090 GN=Myh8 PE=2 SV=2","ENSMUSG00000055775"
"38","Lama2","Q60675","Laminin subunit alpha-2 OS=Mus musculus OX=10090 GN=Lama2 PE=1 SV=2",">sp|Q60675|LAMA2_MOUSE Laminin subunit alpha-2 OS=Mus musculus OX=10090 GN=Lama2 PE=1 SV=2","ENSMUSG00000019899"
"39","Tln1","P26039","Talin-1 OS=Mus musculus OX=10090 GN=Tln1 PE=1 SV=2",">sp|P26039|TLN1_MOUSE Talin-1 OS=Mus musculus OX=10090 GN=Tln1 PE=1 SV=2","ENSMUSG00000028465"
"40","Ogdh","Q60597","2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Ogdh PE=1 SV=3",">sp|Q60597|ODO1_MOUSE 2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Ogdh PE=1 SV=3","ENSMUSG00000020456"
"41","Col6a3","E9PWQ3","Collagen, type VI, alpha 3 OS=Mus musculus OX=10090 GN=Col6a3 PE=1 SV=2",">tr|E9PWQ3|E9PWQ3_MOUSE Collagen, type VI, alpha 3 OS=Mus musculus OX=10090 GN=Col6a3 PE=1 SV=2","ENSMUSG00000048126"
"42","Atp5f1b","P56480","ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1b PE=1 SV=2",">sp|P56480|ATPB_MOUSE ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1b PE=1 SV=2","ENSMUSG00000025393"
"43","Vcl","Q64727","Vinculin OS=Mus musculus OX=10090 GN=Vcl PE=1 SV=4",">sp|Q64727|VINC_MOUSE Vinculin OS=Mus musculus OX=10090 GN=Vcl PE=1 SV=4","ENSMUSG00000021823"
"44","Col6a3","A0A087WS16","Collagen, type VI, alpha 3 OS=Mus musculus OX=10090 GN=Col6a3 PE=1 SV=1",">tr|A0A087WS16|A0A087WS16_MOUSE Collagen, type VI, alpha 3 OS=Mus musculus OX=10090 GN=Col6a3 PE=1 SV=1","ENSMUSG00000048126"
"45","Acta2","P62737","Actin, aortic smooth muscle OS=Mus musculus OX=10090 GN=Acta2 PE=1 SV=1",">sp|P62737|ACTA_MOUSE Actin, aortic smooth muscle OS=Mus musculus OX=10090 GN=Acta2 PE=1 SV=1","ENSMUSG00000035783"
"46","Acta1","P68134","Actin, alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1",">sp|P68134|ACTS_MOUSE Actin, alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1","ENSMUSG00000031972"
"47","Tln2","A0A1L1SQ51","Talin-2 OS=Mus musculus OX=10090 GN=Tln2 PE=1 SV=1",">tr|A0A1L1SQ51|A0A1L1SQ51_MOUSE Talin-2 OS=Mus musculus OX=10090 GN=Tln2 PE=1 SV=1","ENSMUSG00000052698"
"48","Myh1","Q5SX40","Myosin-1 OS=Mus musculus OX=10090 GN=Myh1 PE=1 SV=1",">sp|Q5SX40|MYH1_MOUSE Myosin-1 OS=Mus musculus OX=10090 GN=Myh1 PE=1 SV=1","ENSMUSG00000056328"
"49","Myh2","G3UW82","Myosin, heavy polypeptide 2, skeletal muscle, adult OS=Mus musculus OX=10090 GN=Myh2 PE=1 SV=1",">tr|G3UW82|G3UW82_MOUSE Myosin, heavy polypeptide 2, skeletal muscle, adult OS=Mus musculus OX=10090 GN=Myh2 PE=1 SV=1","ENSMUSG00000033196"
"50","Hadha","Q8BMS1","Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Hadha PE=1 SV=1",">sp|Q8BMS1|ECHA_MOUSE Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Hadha PE=1 SV=1","ENSMUSG00000025745"
"51","Sorbs1","A0A668KL65","Sorbin and SH3 domain-containing protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Sorbs1 PE=1 SV=1",">tr|A0A668KL65|A0A668KL65_MOUSE Sorbin and SH3 domain-containing protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Sorbs1 PE=1 SV=1","ENSMUSG00000025006"
"52","Ldb3","Q9JKS4","LIM domain-binding protein 3 OS=Mus musculus OX=10090 GN=Ldb3 PE=1 SV=1",">sp|Q9JKS4|LDB3_MOUSE LIM domain-binding protein 3 OS=Mus musculus OX=10090 GN=Ldb3 PE=1 SV=1","ENSMUSG00000021798"
"53","Fbn1","Q61554","Fibrillin-1 OS=Mus musculus OX=10090 GN=Fbn1 PE=1 SV=2",">sp|Q61554|FBN1_MOUSE Fibrillin-1 OS=Mus musculus OX=10090 GN=Fbn1 PE=1 SV=2","ENSMUSG00000027204"
"54","Tpm1","Q8BSH3","Tropomyosin alpha-1 chain OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1",">tr|Q8BSH3|Q8BSH3_MOUSE Tropomyosin alpha-1 chain OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1","ENSMUSG00000032366"
"55","Hspd1","P63038","60 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspd1 PE=1 SV=1",">sp|P63038|CH60_MOUSE 60 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspd1 PE=1 SV=1","ENSMUSG00000025980"
"56","Des","P31001","Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3",">sp|P31001|DESM_MOUSE Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3","ENSMUSG00000026208"
"57","Xirp1","A0A571BDS0","Xin actin-binding repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Xirp1 PE=1 SV=2",">tr|A0A571BDS0|A0A571BDS0_MOUSE Xin actin-binding repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Xirp1 PE=1 SV=2","ENSMUSG00000079243"
"58","Myl2","P51667","Myosin regulatory light chain 2, ventricular/cardiac muscle isoform OS=Mus musculus OX=10090 GN=Myl2 PE=1 SV=3",">sp|P51667|MLRV_MOUSE Myosin regulatory light chain 2, ventricular/cardiac muscle isoform OS=Mus musculus OX=10090 GN=Myl2 PE=1 SV=3","ENSMUSG00000013936"
"59","Cmya5","E9QLJ0","Cardiomyopathy-associated protein 5 OS=Mus musculus OX=10090 GN=Cmya5 PE=1 SV=1",">tr|E9QLJ0|E9QLJ0_MOUSE Cardiomyopathy-associated protein 5 OS=Mus musculus OX=10090 GN=Cmya5 PE=1 SV=1","ENSMUSG00000047419"
"60","Nebl","B7ZCI2","Nebulette OS=Mus musculus OX=10090 GN=Nebl PE=1 SV=1",">tr|B7ZCI2|B7ZCI2_MOUSE Nebulette OS=Mus musculus OX=10090 GN=Nebl PE=1 SV=1","ENSMUSG00000053702"
"61","Gapdh","A0A0A0MQF6","Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gapdh PE=1 SV=1",">tr|A0A0A0MQF6|A0A0A0MQF6_MOUSE Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gapdh PE=1 SV=1","ENSMUSG00000057666"
"62","Myh9","Q8VDD5","Myosin-9 OS=Mus musculus OX=10090 GN=Myh9 PE=1 SV=4",">sp|Q8VDD5|MYH9_MOUSE Myosin-9 OS=Mus musculus OX=10090 GN=Myh9 PE=1 SV=4","ENSMUSG00000022443"
"63","Acaa2","Q8BWT1","3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3",">sp|Q8BWT1|THIM_MOUSE 3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3","ENSMUSG00000036880"
"64","Immt","E9Q800","MICOS complex subunit MIC60 OS=Mus musculus OX=10090 GN=Immt PE=1 SV=1",">tr|E9Q800|E9Q800_MOUSE MICOS complex subunit MIC60 OS=Mus musculus OX=10090 GN=Immt PE=1 SV=1","ENSMUSG00000052337"
"65","Atp5f1a","Q03265","ATP synthase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1a PE=1 SV=1",">sp|Q03265|ATPA_MOUSE ATP synthase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1a PE=1 SV=1","ENSMUSG00000025428"
"66","Immt","Q8CAQ8","MICOS complex subunit Mic60 OS=Mus musculus OX=10090 GN=Immt PE=1 SV=1",">sp|Q8CAQ8|MIC60_MOUSE MICOS complex subunit Mic60 OS=Mus musculus OX=10090 GN=Immt PE=1 SV=1","ENSMUSG00000052337"
"67","Sorbs2","D3Z080","Sorbin and SH3 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Sorbs2 PE=1 SV=1",">tr|D3Z080|D3Z080_MOUSE Sorbin and SH3 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Sorbs2 PE=1 SV=1","ENSMUSG00000031626"
"68","Gm3839","S4R1W1","Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gm3839 PE=1 SV=1",">tr|S4R1W1|S4R1W1_MOUSE Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gm3839 PE=1 SV=1","ENSMUSG00000097148"
"69","Lmo7","F6VG99","LIM domain only 7 (Fragment) OS=Mus musculus OX=10090 GN=Lmo7 PE=1 SV=1",">tr|F6VG99|F6VG99_MOUSE LIM domain only 7 (Fragment) OS=Mus musculus OX=10090 GN=Lmo7 PE=1 SV=1","ENSMUSG00000033060"
"70","Lmo7","E9PYF4","LIM domain only 7 OS=Mus musculus OX=10090 GN=Lmo7 PE=1 SV=1",">tr|E9PYF4|E9PYF4_MOUSE LIM domain only 7 OS=Mus musculus OX=10090 GN=Lmo7 PE=1 SV=1","ENSMUSG00000033060"
"71","Myh13","B1AR69","Myosin, heavy polypeptide 13, skeletal muscle OS=Mus musculus OX=10090 GN=Myh13 PE=1 SV=1",">tr|B1AR69|B1AR69_MOUSE Myosin, heavy polypeptide 13, skeletal muscle OS=Mus musculus OX=10090 GN=Myh13 PE=1 SV=1","ENSMUSG00000060180"
"72","Ndufs1","Q91VD9","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs1 PE=1 SV=2",">sp|Q91VD9|NDUS1_MOUSE NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs1 PE=1 SV=2","ENSMUSG00000025968"
"73","Flna","Q8BTM8","Filamin-A OS=Mus musculus OX=10090 GN=Flna PE=1 SV=5",">sp|Q8BTM8|FLNA_MOUSE Filamin-A OS=Mus musculus OX=10090 GN=Flna PE=1 SV=5","ENSMUSG00000031328"
"74","Pygm","Q9WUB3","Glycogen phosphorylase, muscle form OS=Mus musculus OX=10090 GN=Pygm PE=1 SV=3",">sp|Q9WUB3|PYGM_MOUSE Glycogen phosphorylase, muscle form OS=Mus musculus OX=10090 GN=Pygm PE=1 SV=3","ENSMUSG00000032648"
"75","Myh3","P13541","Myosin-3 OS=Mus musculus OX=10090 GN=Myh3 PE=2 SV=2",">sp|P13541|MYH3_MOUSE Myosin-3 OS=Mus musculus OX=10090 GN=Myh3 PE=2 SV=2","ENSMUSG00000020908"
"76","Tacc2","E9Q8T1","Transforming acidic coiled-coil-containing protein 2 OS=Mus musculus OX=10090 GN=Tacc2 PE=1 SV=1",">tr|E9Q8T1|E9Q8T1_MOUSE Transforming acidic coiled-coil-containing protein 2 OS=Mus musculus OX=10090 GN=Tacc2 PE=1 SV=1","ENSMUSG00000030852"
"77","Svil","Q8K4L3","Supervillin OS=Mus musculus OX=10090 GN=Svil PE=1 SV=1",">sp|Q8K4L3|SVIL_MOUSE Supervillin OS=Mus musculus OX=10090 GN=Svil PE=1 SV=1","ENSMUSG00000024236"
"78","Sorbs2","B2RXQ9","Sorbin and SH3 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Sorbs2 PE=1 SV=1",">tr|B2RXQ9|B2RXQ9_MOUSE Sorbin and SH3 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Sorbs2 PE=1 SV=1","ENSMUSG00000031626"
"79","Myh11","A0A338P6K2","Myosin-11 OS=Mus musculus OX=10090 GN=Myh11 PE=1 SV=1",">tr|A0A338P6K2|A0A338P6K2_MOUSE Myosin-11 OS=Mus musculus OX=10090 GN=Myh11 PE=1 SV=1","ENSMUSG00000018830"
"80","Acadvl","P50544","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3",">sp|P50544|ACADV_MOUSE Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3","ENSMUSG00000018574"
"81","Lmo7","E9PYI7","LIM domain only 7 OS=Mus musculus OX=10090 GN=Lmo7 PE=1 SV=1",">tr|E9PYI7|E9PYI7_MOUSE LIM domain only 7 OS=Mus musculus OX=10090 GN=Lmo7 PE=1 SV=1","ENSMUSG00000033060"
"82","Map4","P27546","Microtubule-associated protein 4 OS=Mus musculus OX=10090 GN=Map4 PE=1 SV=3",">sp|P27546|MAP4_MOUSE Microtubule-associated protein 4 OS=Mus musculus OX=10090 GN=Map4 PE=1 SV=3","ENSMUSG00000032479"
"83","Aldoa","A6ZI44","Fructose-bisphosphate aldolase OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=1",">tr|A6ZI44|A6ZI44_MOUSE Fructose-bisphosphate aldolase OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=1","ENSMUSG00000030695"
"84","Ckmt2","Q6P8J7","Creatine kinase S-type, mitochondrial OS=Mus musculus OX=10090 GN=Ckmt2 PE=1 SV=1",">sp|Q6P8J7|KCRS_MOUSE Creatine kinase S-type, mitochondrial OS=Mus musculus OX=10090 GN=Ckmt2 PE=1 SV=1","ENSMUSG00000021622"
"85","Bag3","Q9JLV1","BAG family molecular chaperone regulator 3 OS=Mus musculus OX=10090 GN=Bag3 PE=1 SV=2",">sp|Q9JLV1|BAG3_MOUSE BAG family molecular chaperone regulator 3 OS=Mus musculus OX=10090 GN=Bag3 PE=1 SV=2","ENSMUSG00000030847"
"86","Lmo7","F6TFN2","LIM domain only 7 (Fragment) OS=Mus musculus OX=10090 GN=Lmo7 PE=1 SV=1",">tr|F6TFN2|F6TFN2_MOUSE LIM domain only 7 (Fragment) OS=Mus musculus OX=10090 GN=Lmo7 PE=1 SV=1","ENSMUSG00000033060"
"87","Svil","E9Q3Z5","Supervillin OS=Mus musculus OX=10090 GN=Svil PE=1 SV=1",">tr|E9Q3Z5|E9Q3Z5_MOUSE Supervillin OS=Mus musculus OX=10090 GN=Svil PE=1 SV=1","ENSMUSG00000024236"
"88","Myh11","A0A2R8VHF9","Myosin-11 OS=Mus musculus OX=10090 GN=Myh11 PE=1 SV=1",">tr|A0A2R8VHF9|A0A2R8VHF9_MOUSE Myosin-11 OS=Mus musculus OX=10090 GN=Myh11 PE=1 SV=1","ENSMUSG00000018830"
"89","Atp1a1","Q8VDN2","Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus OX=10090 GN=Atp1a1 PE=1 SV=1",">sp|Q8VDN2|AT1A1_MOUSE Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus OX=10090 GN=Atp1a1 PE=1 SV=1","ENSMUSG00000033161"
"90","Pygb","Q8CI94","Glycogen phosphorylase, brain form OS=Mus musculus OX=10090 GN=Pygb PE=1 SV=3",">sp|Q8CI94|PYGB_MOUSE Glycogen phosphorylase, brain form OS=Mus musculus OX=10090 GN=Pygb PE=1 SV=3","ENSMUSG00000033059"
"91","Vim","P20152","Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=3",">sp|P20152|VIME_MOUSE Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=3","ENSMUSG00000026728"
"92","Myh11","O08638","Myosin-11 OS=Mus musculus OX=10090 GN=Myh11 PE=1 SV=1",">sp|O08638|MYH11_MOUSE Myosin-11 OS=Mus musculus OX=10090 GN=Myh11 PE=1 SV=1",""
"93","Lamc1","F8VQJ3","Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=1",">tr|F8VQJ3|F8VQJ3_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=1","ENSMUSG00000026478"
"94","Sorbs2","A0A0R4J1T1","Sorbin and SH3 domain-containing protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Sorbs2 PE=1 SV=1",">tr|A0A0R4J1T1|A0A0R4J1T1_MOUSE Sorbin and SH3 domain-containing protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Sorbs2 PE=1 SV=1","ENSMUSG00000031626"
"95","Mb","P04247","Myoglobin OS=Mus musculus OX=10090 GN=Mb PE=1 SV=3",">sp|P04247|MYG_MOUSE Myoglobin OS=Mus musculus OX=10090 GN=Mb PE=1 SV=3","ENSMUSG00000018893"
